,screenName,description,location,text,Unnamed: 0
19,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"“We’re going to have to figure out how to live together, or we will destroy each other.""

Former President Barack Obama warned how the focus on culture wars in an increasingly diverse world impacts politics and governance across the globe. https://t.co/ByTn1Ktcbi",84.0
20,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"“We’re going to have to figure out how to live together, or we will destroy each other.""

Former President Barack Obama warned how the focus on culture wars in an increasingly diverse world impacts politics and governance across the globe. https://t.co/ByTn1Ktcbi",84.0
21,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"“We’re going to have to figure out how to live together, or we will destroy each other.""

Former President Barack Obama warned how the focus on culture wars in an increasingly diverse world impacts politics and governance across the globe. https://t.co/ByTn1Ktcbi",84.0
22,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Michael Gerson, a top speechwriter for President George W. Bush and longtime Washington Post columnist, has died. He was 58. https://t.co/uPoPLTolx9",87.0
23,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Michael Gerson, a top speechwriter for President George W. Bush and longtime Washington Post columnist, has died. He was 58. https://t.co/uPoPLTolx9",87.0
24,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"House Speaker Nancy Pelosi announced that she's stepping down as leader of the Democratic caucus after serving 20 years. CNN's @mkraju reports on the reaction to Pelosi's historic announcement and the future of Democratic leadership in the House.
Watch: https://t.co/2tBkhnBuuh",94.0
25,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"House Democrats appear likely to choose New York Rep. Hakeem Jeffries to succeed Nancy Pelosi, a potentially historic move to elect the first Black person to lead a party in Congress. https://t.co/TXQmkg1NUe",101.0
26,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Prosecutors and defense rest in Oath Keepers seditious conspiracy trial, wrapping up a seven-week effort to argue whether five alleged members of the far-right militia plotted to stop Joe Biden from assuming the presidency. https://t.co/JqMv769z5G",102.0
27,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Prosecutors and defense rest in Oath Keepers seditious conspiracy trial, wrapping up a seven-week effort to argue whether five alleged members of the far-right militia plotted to stop Joe Biden from assuming the presidency. https://t.co/JqMv769z5G",102.0
28,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"After winning control of the House of Representatives, Republicans outline a broad range of investigative targets focused on whether President Biden is connected to his son Hunter’s business dealings. https://t.co/uIdpigb2Na",124.0
